,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset,network
0,1,1,1.0099776794513067,0.60725,10.094559907913208,13.081701040267944,0.01,1000,1,cpu,not_normal,network1
1,1,2,0.5446299975117047,0.78925,10.575188875198364,23.7350070476532,0.01,1000,1,cpu,not_normal,network1
2,1,3,0.4624026651183764,0.8304666666666667,10.291737079620361,34.10298800468445,0.01,1000,1,cpu,not_normal,network1
3,1,4,0.4097786252697309,0.84965,10.114871978759766,44.28779888153076,0.01,1000,1,cpu,not_normal,network1
4,1,5,0.37101778388023376,0.8641666666666666,9.88671612739563,54.24258375167847,0.01,1000,1,cpu,not_normal,network1
5,2,1,0.5728648468852043,0.7923333333333333,11.30469799041748,11.497323989868164,0.01,1000,1,cpu,not_normal,network2
6,2,2,0.3406448687116305,0.8739166666666667,11.214774131774902,22.798577070236206,0.01,1000,1,cpu,not_normal,network2
7,2,3,0.3064490656057994,0.8847666666666667,11.752799272537231,34.63564586639404,0.01,1000,1,cpu,not_normal,network2
8,2,4,0.2857175745069981,0.894,11.675693988800049,46.41291117668152,0.01,1000,1,cpu,not_normal,network2
9,2,5,0.26885298987229667,0.89995,12.565992832183838,59.06553792953491,0.01,1000,1,cpu,not_normal,network2
10,3,1,0.6778368676702181,0.8116,10.245280027389526,10.546518087387085,0.01,1000,1,cpu,normal,network1
11,3,2,0.36764873564243317,0.8646333333333334,11.298230648040771,21.92901301383972,0.01,1000,1,cpu,normal,network1
12,3,3,0.3440965433915456,0.87205,10.81973385810852,32.82565927505493,0.01,1000,1,cpu,normal,network1
13,3,4,0.3288686136404673,0.8773166666666666,10.225703001022339,43.12684893608093,0.01,1000,1,cpu,normal,network1
14,3,5,0.31788318902254104,0.8822333333333333,10.079408884048462,53.281494140625,0.01,1000,1,cpu,normal,network1
15,4,1,0.3092727770407995,0.8847833333333334,12.37971305847168,12.678247213363647,0.01,1000,1,cpu,normal,network2
16,4,2,0.26208235025405885,0.90215,11.645466089248657,24.42024326324463,0.01,1000,1,cpu,normal,network2
17,4,3,0.24607602432370185,0.90805,12.601490020751953,37.12858319282532,0.01,1000,1,cpu,normal,network2
18,4,4,0.23521792242924372,0.9112166666666667,12.181427001953125,49.39987397193909,0.01,1000,1,cpu,normal,network2
19,4,5,0.22643348649144174,0.9148333333333334,11.592895984649658,61.07854413986206,0.01,1000,1,cpu,normal,network2
